date,OT,S_child,I_child,R_child,S_adult,I_adult,R_adult,S_total,I_total,R_total
1991-01-08,547.8803183333101,1499556.3944717136,315.05229437248227,128.61595942001802,3499645.833712905,232.8280239608279,121.33826313248734,4999202.228184619,547.8803183333101,249.95422255250537
1991-01-15,9016.755362838712,1492412.8369058121,5139.671714303279,2447.554105390986,3494194.67749704,3877.0836485354325,1928.2388544230328,4986607.514402852,9016.755362838712,4375.792959814019
1991-01-22,126701.37078364701,1392386.7731678123,70133.10902659764,37480.18053109674,3413814.4970724722,56568.261757049375,29617.241170478082,4806201.2702402845,126701.37078364701,67097.42170157481
1991-01-29,870863.5042218401,744059.5387682262,411622.48399056634,344318.0399667142,2719847.6477638967,459241.0202312737,320911.3320048286,3463907.186532123,870863.5042218401,665229.3719715428
1991-02-05,1127809.2819553423,187687.49528644184,356071.07424168853,956241.4931973764,1448043.760372847,771738.2077136538,1280218.031913497,1635731.255659289,1127809.2819553423,2236459.5251108734
1991-02-12,591472.9790765599,79997.41610695687,134204.68414527446,1285797.9624732754,875863.2425684049,457268.2949312854,2166868.462500307,955860.6586753618,591472.9790765599,3452666.424973582
1991-02-19,240765.34495175674,57235.88084862122,43060.47078442797,1399703.7110924574,694074.230670073,197704.87416732876,2608220.8951625945,751310.1115186942,240765.34495175674,4007924.6062550517
1991-02-26,89844.82871150381,50988.431761054024,13516.577601192146,1435495.0533632613,634298.0683872743,76328.25111031167,2789373.680502411,685286.5001483283,89844.82871150381,4224868.733865673
1991-03-05,32731.483609090705,48984.44364091101,4182.1776547064555,1446833.4414298905,613613.1676780131,28549.30595438425,2857837.5263676,662597.6113189241,32731.483609090705,4304670.967797491
1991-03-12,11820.485254939333,48313.72365808423,1310.2171726299998,1450376.1218947934,606317.0395356963,10510.268082309332,2883172.692381993,654630.7631937806,11820.485254939333,4333548.8142767865
1991-03-19,4148.6764368677195,48089.68602495911,441.22111562115043,1451469.1555849283,603836.5283067705,3707.4553212465694,2892456.016371982,651926.2143317296,4148.6764368677195,4343925.171956911
1991-03-26,1460.6755796216953,48024.607026467005,150.98797481216184,1451824.4677242294,603059.6810175715,1309.6876048095335,2895630.6313776188,651084.2880440385,1460.6755796216953,4347455.099101848
1991-04-02,507.7387667039436,48004.41662697551,45.655145689575164,1451949.990952843,602792.3768646333,462.0836210143685,2896745.539514353,650796.7934916088,507.7387667039436,4348695.530467196
1991-04-09,183.73016907783975,47993.39277402858,21.33709589143204,1451985.3328555874,602703.3168061565,162.39307318640772,2897134.290120659,650696.7095801851,183.73016907783975,4349119.622976246
1991-04-16,53.30217075592799,47990.992329186876,1.991054052749307,1452007.0793422668,602674.0083675917,51.31111670317868,2897274.680515708,650665.0006967785,53.30217075592799,4349281.759857975
1991-04-23,15.594021794337017,47991.33674597232,0.1667517750282824,1452008.6895268972,602669.6201927003,15.427270019308734,2897314.9525372838,650660.9569386726,15.594021794337017,4349323.642064181
1991-04-30,4.882885938012189,47990.90178360418,0.3108707943555687,1452009.170849109,602666.0450099357,4.57201514365662,2897329.3829749227,650656.9467935399,4.882885938012189,4349338.553824032
1991-05-07,0.69608931697039,47990.966384910986,0.006009307757472077,1452009.5696996956,602667.3450093877,0.6900800092129179,2897331.9649106064,650658.3113942987,0.69608931697039,4349341.534610302
1991-05-14,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-05-21,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-05-28,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-06-04,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-06-11,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-06-18,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-06-25,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-07-02,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-07-09,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-07-16,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-07-23,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-07-30,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-08-06,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-08-13,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-08-20,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-08-27,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-09-03,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-09-10,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-09-17,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-09-24,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-10-01,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-10-08,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-10-15,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-10-22,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-10-29,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-11-05,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-11-12,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-11-19,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-11-26,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-12-03,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-12-10,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-12-17,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-12-24,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1991-12-31,0.0,47990.9960543581,0.0,1452009.6134314807,602667.2699260216,0.0,2897332.7523678155,650658.2659803797,0.0,4349342.365799297
1992-01-01,40.0,1499980.0,20.0,0.0,3499980.0,20.0,0.0,4999960.0,40.0,0.0
1992-01-08,523.8198366691063,1499579.5687793822,271.498017486166,148.99852947699685,3499593.8246290316,252.32181918294023,155.2306133351795,4999173.393408414,523.8198366691063,304.22914281217635
1992-01-15,8056.610967638747,1493049.933465955,4601.996381415263,2348.1354789745164,3494788.454489007,3454.6145862234835,1758.3079863206158,4987838.387954962,8056.610967638747,4106.443465295132
1992-01-22,114901.13714692226,1402785.0316980022,63417.63738000707,33797.39624833684,3421945.878200549,51483.499766915185,26571.999094088038,4824730.909898551,114901.13714692226,60369.395342424876
1992-01-29,818679.5426742672,788984.2456938362,393200.5647141681,317815.2549183423,2782051.4383182353,425478.9779600992,292470.9607832197,3571035.6840120717,818679.5426742672,610286.215701562
1992-02-05,1135442.3344180791,207315.98322549628,367780.4615051065,924903.6205957432,1523095.81110759,767661.8729129727,1209243.6930409912,1730411.7943330863,1135442.3344180791,2134147.313636734
1992-02-12,621786.0017425125,86074.03908805086,142834.43139587442,1271091.5948424202,909214.963334476,478951.57034663804,2111834.8433804405,995289.0024225268,621786.0017425125,3382926.438222861
1992-02-19,258743.54806957475,59718.08820512401,47084.20502568026,1393197.7720955412,708891.5340909873,211659.34304389448,2579450.4999266732,768609.6222961113,258743.54806957475,3972648.2720222147
1992-02-26,97588.69495169933,52572.69051819817,14711.801193468595,1432715.5736146786,643189.820696276,82876.89375823074,2773934.662607048,695762.5112144742,97588.69495169933,4206650.236221727
1992-03-04,35642.06186976768,50372.17917884571,4695.318953300767,1444932.567194199,620438.5644721432,30946.742916466912,2848616.0696729436,670810.7436509889,35642.06186976768,4293548.636867142
1992-03-11,12732.366375453943,49617.04096586434,1469.1266416430008,1448913.897718838,612428.4176809659,11263.239733810942,2876309.719646778,662045.4586468302,12732.366375453943,4325223.617365615
1992-03-18,4574.587863068383,49370.042357392485,461.03877662883326,1450168.9841923248,609722.9106470365,4113.54908643955,2886164.9173280788,659092.953004429,4574.587863068383,4336333.901520403
1992-03-25,1532.0649395095857,49276.35046343246,157.59186890482061,1450566.1229940085,608816.028033164,1374.473070604765,2889810.875957785,658092.3784965965,1532.0649395095857,4340376.998951794
1992-04-01,557.2294188377589,49246.05957508423,64.29273537733242,1450689.7130158844,608490.5313266964,492.9366834604264,2891017.9090513964,657736.5909017806,557.2294188377589,4341707.622067281
1992-04-08,191.10881554215274,49236.783493727205,16.76816663457832,1450746.513665984,608388.6205575694,174.34064890757443,2891438.4158550748,657625.4040512966,191.10881554215274,4342184.929521059
1992-04-15,76.1828925873437,49233.14495373716,7.591747202536624,1450759.328625406,608341.3295669727,68.59114538480708,2891591.456349196,657574.4745207098,76.1828925873437,4342350.784974602
1992-04-22,31.349691910522463,49233.1216780394,0.7362988989104384,1450766.2073494073,608329.1580680134,30.613393011612025,2891641.605600526,657562.2797460528,31.349691910522463,4342407.812949933
1992-04-29,19.626703434703995,49231.512525087746,0.12330072078935478,1450768.4373205942,608320.1998887772,19.50340271391464,2891661.6737700608,657551.7124138649,19.626703434703995,4342430.1110906545
1992-05-06,3.3746557645703477,49231.88847859369,0.0037066986706185997,1450768.8115344518,608317.9252551737,3.370949065899729,2891680.0808573146,657549.8137337674,3.3746557645703477,4342448.892391766
1992-05-13,0.2547018743503324,49231.67596429586,0.21031264302685684,1450768.858041724,608318.4330369864,0.04438923132347557,2891683.015787039,657550.1090012823,0.2547018743503324,4342451.873828763
1992-05-20,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-05-27,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-06-03,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-06-10,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-06-17,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-06-24,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-07-01,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-07-08,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-07-15,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-07-22,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-07-29,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-08-05,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-08-12,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-08-19,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-08-26,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-09-02,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-09-09,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-09-16,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-09-23,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-09-30,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-10-07,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-10-14,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-10-21,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-10-28,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-11-04,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-11-11,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-11-18,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-11-25,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-12-02,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-12-09,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-12-16,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1992-12-23,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
